150hz gel,150hz,175hz gel,175hz,200hz gel,200hz,225hz gel,225hz,250hz gel,250hz,275hz gel,275hz,300hz gel,300hz
0.347,0.495,0.495,0.35,0.28,0.242,0.191,0.256,0.162,0.163,0.047,0.129,0.103,0.103
0.435,0.528,0.443,0.391,0.246,0.228,0.296,0.169,0.116,0.116,0.066,0.091,0.075,0.097
0.348,0.503,0.443,0.482,0.27,0.401,0.312,0.221,0.185,0.169,0.105,0.101,0.084,0.067
0.467,0.531,0.495,0.326,0.3,0.208,0.209,0.222,0.208,0.145,0.133,0.091,0.067,0.077
0.435,0.552,0.417,0.456,0.261,0.365,0.278,0.235,0.129,0.122,0.063,0.08,0.067,0.046
0.435,0.591,0.391,0.375,0.226,0.266,0.313,0.234,0.141,0.157,0.083,0.129,0.047,0.066
0.376,0.473,0.651,0.348,0.226,0.228,0.243,0.198,0.084,0.133,0.07,0.089,0.043,0.045
0.377,0.535,0.472,0.479,0.228,0.313,0.186,0.234,0.116,0.122,0.043,0.07,0.081,0.104
0.467,0.502,0.394,0.419,0.366,0.21,0.186,0.196,0.208,0.145,0.074,0.099,0.074,0.092
0.434,0.472,0.443,0.254,0.334,0.33,0.21,0.177,0.246,0.15,0.063,0.082,0.042,0.109
0.377,0.532,0.495,0.385,0.33,0.244,0.154,0.238,0.211,0.127,0.066,0.114,0.053,0.059
0.376,0.591,0.495,0.364,0.246,0.3,0.185,0.171,0.157,0.136,0.081,0.113,0.052,0.064
0.521,0.473,0.417,0.391,0.296,0.28,0.185,0.148,0.087,0.237,0.074,0.085,0.043,0.065
0.492,0.561,0.495,0.432,0.228,0.244,0.187,0.177,0.16,0.141,0.074,0.113,0.066,0.059
0.588,0.562,0.443,0.373,0.313,0.337,0.174,0.171,0.143,0.117,0.083,0.082,0.021,0.066
0.503,0.447,0.495,0.371,0.243,0.194,0.151,0.208,0.106,0.139,0.063,0.073,0.066,0.072
0.391,0.481,0.443,0.307,0.382,0.228,0.174,0.161,0.209,0.158,0.084,0.077,0.053,0.067
0.482,0.414,0.549,0.391,0.403,0.308,0.174,0.184,0.208,0.079,0.044,0.082,0.031,0.046
0.458,0.664,0.417,0.37,0.226,0.283,0.186,0.183,0.123,0.113,0.094,0.052,0.052,0.047
0.4,0.591,0.547,0.305,0.313,0.174,0.197,0.181,0.174,0.129,0.079,0.087,0.021,0.076
0.521,0.473,0.469,0.436,0.314,0.3,0.139,0.192,0.089,0.113,0.056,0.082,0.021,0.067
0.434,0.503,0.443,0.348,0.313,0.303,0.185,0.215,0.143,0.096,0.135,0.087,0.047,0.069
0.305,0.591,0.443,0.464,0.226,0.211,0.198,0.169,0.14,0.102,0.083,0.081,0.043,0.045
0.499,0.443,0.547,0.485,0.434,0.27,0.15,0.215,0.156,0.104,0.129,0.087,0.083,0.08
0.477,0.503,0.417,0.414,0.347,0.366,0.174,0.186,0.081,0.095,0.156,0.085,0.067,0.052
0.458,0.502,0.469,0.421,0.296,0.214,0.197,0.156,0.223,0.141,0.083,0.095,0.094,0.073
0.46,0.535,0.399,0.348,0.413,0.344,0.162,0.171,0.185,0.113,0.125,0.082,0.08,0.062
0.415,0.503,0.417,0.347,0.261,0.314,0.197,0.183,0.169,0.104,0.106,0.096,0.074,0.069
0.503,0.62,0.452,0.358,0.33,0.249,0.186,0.144,0.22,0.13,0.083,0.087,0.05,0.069
0.478,0.503,0.435,0.352,0.314,0.234,0.162,0.208,0.186,0.128,0.073,0.078,0.046,0.059
0.586,0.472,0.365,0.347,0.243,0.332,0.141,0.206,0.121,0.118,0.104,0.094,0.063,0.056
0.521,0.532,0.523,0.352,0.382,0.287,0.185,0.181,0.105,0.146,0.094,0.093,0.078,0.069
0.499,0.384,0.434,0.291,0.177,0.349,0.186,0.256,0.231,0.171,0.125,0.08,0.048,0.075
0.456,0.535,0.452,0.414,0.365,0.254,0.162,0.13,0.132,0.139,0.094,0.112,0.032,0.067
0.503,0.531,0.457,0.406,0.278,0.219,0.198,0.17,0.174,0.14,0.115,0.116,0.087,0.084
0.391,0.531,0.314,0.347,0.215,0.295,0.186,0.157,0.093,0.178,0.115,0.074,0.046,0.09
0.654,0.621,0.486,0.394,0.337,0.264,0.164,0.21,0.104,0.116,0.093,0.109,0.039,0.095
0.456,0.472,0.384,0.463,0.313,0.287,0.186,0.118,0.278,0.122,0.149,0.093,0.039,0.053
0.503,0.476,0.556,0.324,0.297,0.234,0.174,0.156,0.139,0.154,0.116,0.086,0.057,0.065
0.499,0.62,0.382,0.302,0.313,0.289,0.15,0.218,0.162,0.096,0.125,0.085,0.025,0.064
0.436,0.444,0.573,0.291,0.313,0.291,0.175,0.186,0.104,0.124,0.094,0.104,0.04,0.09
0.543,0.502,0.504,0.289,0.246,0.208,0.162,0.231,0.151,0.16,0.125,0.075,0.055,0.058
0.391,0.502,0.454,0.358,0.283,0.333,0.233,0.209,0.162,0.135,0.073,0.083,0.04,0.071
0.435,0.531,0.469,0.32,0.275,0.242,0.162,0.118,0.127,0.132,0.115,0.07,0.052,0.071
0.482,0.502,0.418,0.348,0.278,0.217,0.151,0.199,0.141,0.113,0.125,0.071,0.094,0.043
0.543,0.591,0.47,0.435,0.278,0.291,0.22,0.174,0.172,0.13,0.125,0.096,0.05,0.08
0.521,0.503,0.469,0.32,0.337,0.286,0.151,0.143,0.185,0.139,0.094,0.128,0.047,0.024
0.499,0.505,0.418,0.324,0.244,0.252,0.197,0.157,0.233,0.113,0.136,0.087,0.047,0.092
0.415,0.532,0.401,0.421,0.313,0.255,0.151,0.21,0.187,0.135,0.094,0.099,0.055,0.064
0.332,0.443,0.469,0.324,0.399,0.237,0.118,0.204,0.197,0.148,0.136,0.113,0.063,0.067
0.434,0.473,0.469,0.318,0.347,0.261,0.174,0.256,0.197,0.14,0.094,0.089,0.048,0.094
0.479,0.568,0.434,0.394,0.295,0.243,0.139,0.156,0.128,0.113,0.086,0.091,0.07,0.043
0.521,0.62,0.366,0.318,0.308,0.335,0.197,0.156,0.104,0.148,0.119,0.087,0.067,0.089
0.435,0.533,0.44,0.295,0.348,0.253,0.22,0.165,0.198,0.124,0.083,0.087,0.04,0.051
0.347,0.664,0.399,0.381,0.261,0.214,0.186,0.183,0.128,0.105,0.106,0.07,0.048,0.038
0.396,0.634,0.474,0.302,0.341,0.301,0.22,0.157,0.162,0.069,0.088,0.095,0.055,0.059
0.5,0.531,0.417,0.376,0.368,0.217,0.175,0.197,0.127,0.118,0.104,0.133,0.048,0.059
0.501,0.443,0.417,0.386,0.296,0.277,0.174,0.25,0.162,0.122,0.125,0.039,0.035,0.054
0.456,0.489,0.59,0.348,0.32,0.255,0.208,0.23,0.175,0.113,0.094,0.105,0.055,0.059
0.499,0.754,0.451,0.377,0.324,0.332,0.151,0.286,0.209,0.13,0.115,0.072,0.042,0.051
0.434,0.487,0.365,0.289,0.351,0.238,0.174,0.239,0.15,0.139,0.147,0.087,0.059,0.059
0.528,0.576,0.489,0.318,0.3,0.283,0.185,0.133,0.081,0.122,0.061,0.087,0.049,0.045
0.501,0.445,0.434,0.26,0.236,0.346,0.185,0.183,0.15,0.122,0.115,0.093,0.052,0.067
0.417,0.487,0.486,0.32,0.33,0.217,0.174,0.194,0.162,0.139,0.094,0.07,0.04,0.109
0.5,0.576,0.418,0.377,0.347,0.278,0.139,0.206,0.139,0.106,0.115,0.087,0.172,0.106
0.456,0.576,0.453,0.347,0.452,0.266,0.22,0.204,0.15,0.13,0.084,0.089,0.109,0.102
0.393,0.531,0.469,0.406,0.253,0.289,0.139,0.169,0.139,0.106,0.137,0.096,0.105,0.067
0.503,0.413,0.504,0.348,0.26,0.243,0.15,0.182,0.239,0.165,0.115,0.074,0.084,0.025
0.434,0.531,0.401,0.453,0.382,0.272,0.22,0.239,0.164,0.139,0.127,0.07,0.099,0.103
0.478,0.591,0.435,0.492,0.266,0.279,0.208,0.17,0.15,0.188,0.105,0.094,0.129,0.069
0.456,0.531,0.405,0.352,0.208,0.191,0.162,0.17,0.152,0.159,0.086,0.078,0.078,0.095
0.523,0.472,0.46,0.557,0.399,0.305,0.186,0.167,0.105,0.113,0.096,0.075,0.105,0.069
0.415,0.591,0.521,0.32,0.278,0.248,0.197,0.182,0.128,0.179,0.122,0.148,0.095,0.093
0.436,0.65,0.399,0.435,0.347,0.197,0.151,0.212,0.116,0.072,0.125,0.085,0.08,0.053
0.477,0.531,0.506,0.409,0.203,0.262,0.197,0.197,0.139,0.113,0.083,0.075,0.125,0.105
0.477,0.593,0.44,0.347,0.26,0.212,0.231,0.282,0.081,0.106,0.208,0.098,0.088,0.065
0.458,0.535,0.365,0.434,0.382,0.182,0.198,0.19,0.116,0.122,0.074,0.095,0.07,0.146
0.499,0.472,0.472,0.495,0.209,0.256,0.127,0.122,0.116,0.124,0.094,0.095,0.078,0.065
0.391,0.591,0.505,0.347,0.28,0.196,0.185,0.182,0.093,0.215,0.127,0.083,0.156,0.102
0.521,0.476,0.351,0.495,0.297,0.184,0.128,0.143,0.081,0.122,0.116,0.065,0.094,0.059
0.435,0.591,0.417,0.405,0.278,0.199,0.174,0.179,0.073,0.116,0.089,0.086,0.064,0.038
0.434,0.544,0.469,0.449,0.351,0.184,0.185,0.223,0.105,0.13,0.115,0.084,0.119,0.071
0.588,0.531,0.401,0.262,0.261,0.209,0.174,0.165,0.11,0.089,0.115,0.088,0.049,0.054
0.753,0.535,0.451,0.467,0.317,0.245,0.177,0.2,0.118,0.139,0.106,0.06,0.094,0.059
0.521,0.418,0.505,0.409,0.368,0.197,0.162,0.195,0.128,0.14,0.109,0.104,0.078,0.071
0.608,0.591,0.418,0.464,0.242,0.143,0.208,0.148,0.107,0.122,0.109,0.179,0.063,0.058
0.614,0.591,0.434,0.33,0.332,0.206,0.162,0.177,0.141,0.095,0.104,0.036,0.079,0.033
0.61,0.418,0.349,0.492,0.382,0.208,0.116,0.176,0.14,0.102,0.146,0.128,0.074,0.073
0.585,0.65,0.401,0.414,0.228,0.194,0.197,0.191,0.116,0.104,0.125,0.082,0.104,0.049
0.666,0.65,0.417,0.352,0.454,0.221,0.162,0.224,0.132,0.104,0.052,0.106,0.089,0.065
0.61,0.654,0.434,0.499,0.317,0.245,0.231,0.224,0.125,0.124,0.073,0.111,0.084,0.089
0.666,0.474,0.539,0.386,0.295,0.197,0.266,0.313,0.109,0.089,0.125,0.087,0.063,0.073
0.7,0.436,0.451,0.443,0.246,0.28,0.231,0.181,0.083,0.113,0.094,0.087,0.073,0.084
0.579,0.544,0.503,0.414,0.26,0.206,0.22,0.124,0.1,0.114,0.125,0.078,0.084,0.076
0.614,0.456,0.503,0.405,0.313,0.221,0.223,0.226,0.095,0.113,0.115,0.061,0.125,0.069
0.666,0.592,0.4,0.434,0.295,0.235,0.197,0.155,0.09,0.087,0.119,0.132,0.109,0.04
0.647,0.436,0.451,0.405,0.347,0.202,0.221,0.195,0.116,0.122,0.104,0.087,0.056,0.097
0.642,0.456,0.505,0.479,0.334,0.225,0.267,0.186,0.118,0.14,0.073,0.136,0.125,0.053
0.521,0.546,0.382,0.403,0.297,0.24,0.278,0.157,0.067,0.069,0.104,0.091,0.109,0.048
0.604,0.651,0.452,0.549,0.266,0.157,0.243,0.235,0.129,0.106,0.104,0.072,0.053,0.089
0.507,0.501,0.487,0.435,0.33,0.181,0.28,,0.129,0.087,0.084,0.114,0.135,0.056
0.812,0.456,0.399,0.405,0.261,0.199,0.266,,0.123,0.133,0.137,0.092,0.083,0.056
0.551,0.553,0.451,0.586,0.313,0.221,0.312,,0.131,0.097,0.115,0.092,0.083,0.063
0.666,0.391,0.486,0.493,0.351,0.183,0.22,,0.104,0.078,0.115,0.085,0.089,0.048
0.697,0.499,0.435,0.352,0.329,0.259,0.303,,0.078,0.156,0.116,0.113,0.053,0.04
0.579,0.464,0.365,0.608,0.28,0.195,0.278,,0.128,0.097,0.083,0.095,0.073,0.133
0.668,0.482,0.366,0.32,0.286,0.198,0.162,,0.099,0.13,0.125,0.148,0.099,0.082
0.724,0.608,0.37,0.381,0.249,0.223,0.359,,0.148,0.095,0.094,0.072,0.086,0.084
0.695,0.525,0.443,0.464,0.313,0.194,0.185,,0.115,0.139,0.125,0.091,0.088,0.063
0.579,0.485,0.404,0.414,0.283,0.184,0.255,,0.065,0.113,0.178,0.091,0.096,0.057
0.495,0.501,0.482,0.394,0.296,0.177,0.243,,0.164,0.069,0.141,0.096,0.07,0.044
0.666,0.458,0.47,0.499,0.365,0.174,0.185,,0.151,0.104,0.126,0.07,0.073,0.08
0.637,0.5,0.382,0.394,0.296,0.221,0.22,,0.116,0.141,0.125,0.113,0.074,0.067
0.608,0.499,0.347,0.405,0.368,0.196,0.208,,0.084,0.14,0.094,0.063,0.074,0.059
0.695,0.478,0.382,0.492,0.26,0.25,0.231,,0.107,0.139,0.116,0.069,0.073,0.089
0.666,0.521,0.417,0.421,0.33,0.19,0.243,,0.125,0.137,0.115,0.087,0.083,0.052
0.522,0.592,0.399,0.352,0.334,0.21,0.21,,0.107,0.148,0.084,0.118,0.063,0.038
0.596,0.501,0.469,0.409,0.278,0.233,0.186,,0.151,0.174,0.104,0.056,0.105,0.08
0.611,0.501,0.417,0.493,0.332,0.17,0.266,,0.116,0.171,0.116,0.124,0.084,
0.631,0.544,0.365,0.438,0.26,0.289,0.22,,0.082,0.114,0.084,0.087,0.094,
0.621,0.456,0.365,,0.403,0.202,0.209,,0.127,0.095,0.115,0.08,0.094,
0.566,0.501,0.486,,0.244,0.156,0.243,,0.105,0.167,0.104,0.113,0.084,
0.674,,0.591,,0.174,0.215,0.289,,0.093,0.102,0.125,0.08,0.094,
0.507,,0.539,,0.26,0.217,0.347,,,0.11,0.084,0.092,0.115,
0.673,,0.418,,0.33,0.195,0.21,,,0.156,0.094,0.102,0.083,
0.673,,0.541,,0.349,0.17,0.35,,,0.133,0.125,0.131,0.063,
0.479,,0.504,,0.236,0.284,0.197,,,0.137,0.104,,,
0.721,,0.486,,0.32,0.182,0.231,,,0.157,0.129,,,
0.553,,0.434,,0.226,0.231,0.256,,,0.131,0.083,,,
0.717,,0.543,,0.28,0.208,0.29,,,0.135,0.104,,,
0.608,,0.434,,0.308,0.163,0.336,,,0.129,0.084,,,
0.525,,0.486,,0.33,0.161,0.255,,,0.171,0.094,,,
0.608,,0.469,,0.295,0.256,0.244,,,0.202,0.125,,,
0.565,,0.491,,0.291,0.222,0.278,,,0.137,0.127,,,
,,0.472,,0.313,0.158,0.278,,,0.188,0.125,,,
,,0.522,,0.28,0.223,0.28,,,0.139,0.104,,,
,,0.486,,0.253,0.171,0.2,,,0.155,0.146,,,
,,0.452,,0.261,0.26,0.312,,,0.267,0.083,,,
,,0.451,,0.332,0.262,0.198,,,0.179,0.168,,,
,,0.472,,0.382,0.174,0.255,,,0.255,0.115,,,
,,0.523,,0.313,0.235,,,,0.149,0.115,,,
,,0.47,,0.296,0.215,,,,0.16,0.104,,,
,,0.591,,0.375,0.195,,,,0.209,0.084,,,
,,0.452,,0.26,0.222,,,,0.171,0.125,,,
,,0.503,,0.313,0.235,,,,0.123,0.104,,,
,,0.451,,0.278,0.209,,,,0.181,0.106,,,
,,0.634,,0.28,,,,,0.156,0.139,,,
,,0.405,,0.375,,,,,0.165,0.066,,,
,,0.522,,0.192,,,,,0.113,0.115,,,
,,0.59,,0.313,,,,,0.162,0.135,,,
,,0.349,,0.33,,,,,0.167,0.104,,,
,,0.538,,0.296,,,,,0.095,0.136,,,
,,0.451,,0.365,,,,,0.14,0.094,,,
,,0.573,,,,,,,0.159,0.146,,,
,,0.417,,,,,,,0.192,0.137,,,
,,0.417,,,,,,,0.136,0.084,,,
,,0.574,,,,,,,0.16,0.084,,,
,,0.349,,,,,,,0.148,0.165,,,
,,0.452,,,,,,,0.2,0.066,,,
,,0.039,,,,,,,0.113,0.125,,,
,,0.041,,,,,,,0.323,0.156,,,
,,0.037,,,,,,,0.208,0.104,,,
,,0.037,,,,,,,0.309,0.146,,,
,,0.048,,,,,,,0.142,0.104,,,
,,0.046,,,,,,,0.184,0.096,,,
,,0.041,,,,,,,0.24,0.125,,,
,,0.043,,,,,,,0.136,0.146,,,
,,0.046,,,,,,,0.166,0.106,,,
,,0.044,,,,,,,0.156,0.135,,,
,,0.043,,,,,,,0.148,0.076,,,
,,0.035,,,,,,,0.156,0.104,,,
,,0.043,,,,,,,0.105,0.083,,,
,,0.044,,,,,,,0.2,0.177,,,
,,0.051,,,,,,,0.091,0.106,,,
,,0.039,,,,,,,0.122,0.083,,,
,,0.057,,,,,,,0.131,0.115,,,
,,0.043,,,,,,,0.19,,,,
,,0.041,,,,,,,0.14,,,,
,,0.05,,,,,,,0.171,,,,
,,0.048,,,,,,,0.122,,,,
,,0.043,,,,,,,0.122,,,,
,,0.038,,,,,,,0.122,,,,
,,0.036,,,,,,,0.116,,,,
,,0.048,,,,,,,0.124,,,,
,,0.039,,,,,,,0.125,,,,
,,0.051,,,,,,,0.184,,,,
,,0.051,,,,,,,0.125,,,,
,,0.048,,,,,,,,,,,
,,0.046,,,,,,,,,,,
,,0.041,,,,,,,,,,,
,,0.037,,,,,,,,,,,
,,0.044,,,,,,,,,,,
,,0.044,,,,,,,,,,,
,,0.044,,,,,,,,,,,
,,0.055,,,,,,,,,,,
,,0.055,,,,,,,,,,,
,,0.046,,,,,,,,,,,
,,0.046,,,,,,,,,,,
,,0.046,,,,,,,,,,,
,,0.04,,,,,,,,,,,
,,0.045,,,,,,,,,,,
,,0.055,,,,,,,,,,,
,,0.043,,,,,,,,,,,
,,0.053,,,,,,,,,,,
,,0.044,,,,,,,,,,,
,,0.044,,,,,,,,,,,
,,0.043,,,,,,,,,,,
,,0.041,,,,,,,,,,,
,,0.035,,,,,,,,,,,
,,0.035,,,,,,,,,,,
,,0.055,,,,,,,,,,,
,,0.039,,,,,,,,,,,
,,0.041,,,,,,,,,,,
,,0.05,,,,,,,,,,,
,,0.05,,,,,,,,,,,
,,0.043,,,,,,,,,,,
,,0.044,,,,,,,,,,,
,,0.048,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
